yr,plot,nardstri,festrubr,brizmed,anthodor,siegdecu,holclana,agrospp.,festprat,cynocris,descespi,poaprate,festovin,avenpube,carepani,carepale,carepuli,careumbr,carestel,carelepo,carepilu,carenigr,careflav,carehirt,carehart,luzumult,junceffu,scirsylv,lathprat,lychflos,cirspalu,selicarv,ranunemo,ranuauri,poteerec,lysivulg,achiptar,angesilv,senerivu,mentarve,myospalu,centjace,rumeacet,scorhumi,prunvulg,vicicrac,sangoffi,ajugrept,galibore,galiulig,galipalu,ranuacer,valedioi,saliauri,equiarve,equipalu,planlanc,leonhisp,taraoffi,pedisilv,pimpmajo,verocham,verooffi,alchvulg,stelgram,betooffi,hierumbe,epilpalu,epilcili,trifdubi,succprat,ceravulg,cardprat,serrtinc,pinusylv,dactmaja,querrobu,ranuflam,pseupuru,aulapalu,brachyte,climdend,rhitsqua,hylosple,sphagnum,pleuschr
2,1,20,15,8,7,2,15,0,3,2,0,0,0,0,3,3,1,0,0,0,5,0,0,0,0,1,1,0,2,1,0,0,0,1,12,5,8,4,2,2,7,0,2,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0,2,3,1,0,0
2,2,12,5,3,0,0,3,0,0,0,0,0,0,0,3,2,1,2,0,2,3,0,0,0,0,1,1,2,2,0,2,0,0,0.5,7,3,4,2,2,1,7,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,5,0,0,0
2,3,0,8,5,3,0,45,3,0,6,10,0,3,0,2,0,0,0,0,2,1,1,0,0,0,2,1,1,1,0,2,3,0,1,1,6,3,1,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,0,0,0
2,4,3,13,5,6,2,10,4,0,0,5,0,5,0,4,3,0,0,1,2,3,3,0,0,0,2,1,0,5,7,5,0,0,2,6,1,10,4,0,0,7,0,0,0,2,1,0,4,10,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,10,0,0,4,1,0,0
2,5,3,6,3,2,2,3,0,3,0,0,0,12,0,10,3,2,0,0,2,5,0,0,0,0,2,0,3,2,2,4,0.2,0,0,4,2,15,2,0,0,5,4,0,3,0,2,3,0,3,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,2,0,0
2,6,5,4,12,2,0,5,2,0,0,0,0,7,0,2,2,2,5,0,0,7,0,0,0,0,2,1,3,3,0,4,8,1,2,8,3,2,0,0,0.5,4,0,0,3,1,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,3,8,2,0,0
2,7,10,7,0,4,2,10,2,3,6,0,1,3,0,3,3,2,0,1,2,1,0,0,0,0,2,2,7,3,1,2,0,0,0,5,5,5,2,0,5,7,0,0,0,2,0,0,3,2,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,1,1,1,0,0
2,8,10,7,9,10,0,30,15,0,4,0,6,0,0,3,4,2,0,1,4,1,0,0,0,0,1,3,0,2,0,5,0,0.2,0.5,4,4,2,2,0,0,10,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,3,2,0,0,5,0,0,0
2,9,3,10,5,10,0,30,5,2,3,0,0,10,3,1,3,0,0,2,0,1,0,0,0,0,2,2,3,3,0,4,0,0,0,2,4,3,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2,10,12,15,0,3,0,10,12,1,0,8,0,4,0,5,2,0,0,0,2,1,0,0,0,0,2,2,5,2,1,3,0,0,1,3,4,3,0,2,0,3,0,3,3,2,0,7,0,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.5,2,0.5,0,0
2,11,4,5,5,3,0,15,4,0,2,5,3,4,0,8,8,0,0,0,1,2,0,0,0,0,2,3,0,2,7,3,1,0,0,10,3,3,0,0,1,9,0,0,0,7,0.2,0,1,2,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,8,4,4,6,0,0,2
2,12,10,7,2,2,2,10,3,2,0,6,2,0,0,5,4,2,3,0,2,3,0,0,0,0,1,2,0,2,0,6,1,0,1,12,4,3,3,1,0,7,0,2,2,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,0,3,0.5,1,0,0
2,13,2,5,2,0,0,6,0,2,0,0,0,10,0,5,5,0,2,0,0,3,3,0,0,0,2,1,0,2,0,2,0,0.5,0,2,1,0,3,3,0,2,0,0,2,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,3,2,0,0
2,14,8,20,5,5,2,45,5,3,0,0,0,15,0,2,2,0,0,0,2,2,0,0,0,0,1,1,0,2,1,4,0,1,1,5,2,0,1,0,0,2,0,0,1,1,0,0,1,4,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2,15,5,4,2,1,0,8,2,2,0,0,0,15,0,4,3,2,0,0,0,3,0,0,0,0,1,2,0,2,0,3,0.2,0,2,6,2,3,3,0,0,0,0,0,0,1,0.5,0,0,5,1,0,0,3,0,0,0,1,0,0,0,0,13,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,2,0,0,0
2,16,0,15,7,0,5,2,5,0,8,0,0,10,0,15,7,0,0,0,0,0,0,0,0,3,2,2,0,2,3,2,0,0,0,15,0,2,2,0,0,2,0,0,1,1,0,0,1,8,4,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,1,0,4,2,0,0,0
2,17,4,2,3,2,0,5,2,0,0,0,0,13,0,2,4,1,2,0,0,3,0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0,4,0,0,0,0,0,2,1,1,1,0.5,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,0,0,0,0,0,0.5,0,0,0,0,0,0,2,6,0,2,3,0,0,0
2,18,3,10,3,0,0,35,3,0,0,3,3,20,0,0.5,2,0,0,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,3,0,0,0,0,1,2,0,0,2,0,0,0
2,19,4,4,1,0,1,15,0,0,0,0,8,4,0,10,15,1,5,0,0,7,0,0,0,0,0,3,0,3,0,4,0,0,0,5,2,4,4,0,0,7,0,0,1,0.5,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,1,0,0,0.3,0,0,2,2,0,1,2,0,0,0
2,20,5,6,2,1,0,10,5,1,0,2,0,10,0,2,5,1,0,0,0,3,0,0,0,0,2,1,0,0,2,4,0.2,0,0,5,1,0,0,0,0,2,0,0,2,0.2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,5,0,0,0,0.1,0,0,0,2,3,0,2,4,0,0,0
2,21,12,2,3,0,0,10,10,0,0,0,0,30,0,1,4,0,4,0,0,0,0,0,0,0,5,1,0,2,0,2,0,2,0,6,0,0,0,0,0,1,0,2,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0
2,22,4,5,0,0,0,20,3,1,0,20,3,7,0,2,10,0,0,0,0,0,0,0,0,4,1,4,0,3,0,0,2,0,0,8,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,23,4,7,2,2,0,40,10,7,0,10,0,6,0,0,7,0,3,0,0,2,0,0,0,2,2,3,0,0,0,2,3,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,24,3,4,4,0,0,3,3,5,3,3,0,15,0,2,5,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,3,2,3,0,0.5,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,3,0,0,0
3,1,20,15,15,10,0,15,0,10,5,0,2,0,0,10,7,2,0,0,0,7,2,0,0,7,5,2,3,2,7,4,1,1,2,25,7,8,3,3,0,15,0,1,2,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0.5,13,0,13,5,1,0,0
3,2,0,5,0,5,0,5,0,0,0,0,0,5,0,2,5,2,0,0,2,10,2,0,0,5,2,0,2,3,0,0,0,1,0,15,2,0,0,3,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,3,0,0
3,3,2,15,7,0,1,25,15,10,0,0,5,0,0,5,0,0,2,0,0,0,3,0,0,5,2,10,8,5,0,0,0,0,4,20,7,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0
3,4,2,15,5,5,0,0,6,3,0,10,3,0,0,3,0,0,2,5,3,0,8,0,0,0,0,2,0,5,0,10,0,0,5,15,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
3,5,10,5,15,10,0,10,0,8,0,0,0,20,0,8,8,0,0,0,0,2,0,0,0,2,3,2,5,4,0,3,1,1,0,12,4,0,7,2,0,10,5,1,2,3,3,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,2,0,2,0,0
3,6,20,5,10,8,0,8,0,3,3,0,0,0,0,5,4,1,8,0,0,7,0,0,0,4,4,1,4,5,0,0,2,2,1,5,2,0,0,0,1,3,0,0,0,1,0,1,7,10,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0,0,8,8,0,0
3,7,7,17,0,10,0,15,2,15,0,0,2,0,0,15,8,0,0,0,10,0,0,0,0,2,2,3,8,5,0,3,0,0,4,20,8,15,3,0,2,12,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1
3,8,5,15,5,10,0,30,5,15,0,0,0,0,0,0,15,0,0,3,7,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,8,0,3,0,0,2,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,6,0,0,0
3,9,0,5,2,4,0,10,4,8,0,8,0,5,0,1,5,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,4,7,5,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3,10,5,10,4,5,0,15,15,15,0,7,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0,3,5,7,1,5,0,0,2,10,0,0,3,0,0,15,0,7,1,1,0,5,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
3,11,8,7,3,18,0,10,0,0,0,5,20,0,0,2,15,1,0,0,3,12,2,0,0,5,2,1,0,7,0,4,1,1,0,10,5,5,0,0,0,15,0,0,2,0,1,0,0,8,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,20,0,7,3,0,0,0.5
3,12,0,15,5,10,5,15,2,10,0,5,8,2,0,8,8,0,0,2,8,0,3,0,0,3,3,1,0,0,0,3,1,0,0,0,0,4,3,0,0,20,0,3,2,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,1,0,0
3,13,0,3,0,0,0,0,0,15,0,20,3,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,3,5,0,10,0,0,0,0,0,2,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3,14,8,15,3,10,0,18,18,12,3,0,3,8,0,2,12,0,0,0,6,2,0,0,0,0,3,5,0,5,0,5,1,2,1,10,5,0,2,0,0,8,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3,15,3,2,0,7,0,0,2,4,0,0,0,10,0,7,10,0,0,0,0,7,0,0,0,4,2,2,0,2,0,4,0,0,2,7,6,4,3,0,0,0,0,0,1,0,0,0,0,5,1,0,0,4,0,0,1,0,0,0,0,0,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,0,0,0,0
3,16,3,15,8,5,3,25,2,15,5,2,0,7,0,10,18,0,0,0,0,5,0,0,0,5,7,4,0,0,0,3,3,0,0,10,2,2,2,0,0,8,0,0,2,8,0,0,0,5,1,5,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,5,15,3,0,0
3,17,7,7,4,5,0,35,7,5,0,0,0,20,3,8,20,2,3,0,0,5,2,0,0,0,5,2,0,2,0,0,0,1,0,15,0,0,2,0,0,5,0,0,4,3,0,0,0,25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,2,18,2,3,0,12,10,8,2,3,2,3,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0
3,19,0,25,5,5,0,5,7,8,0,0,8,4,0,5,5,0,0,0,0,2,0,0,0,3,2,5,0,1,0,0,0,0,0,10,0,20,3,0,0,25,0,2,0,0,0,0,0,10,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
3,20,10,5,5,7,0,10,7,5,0,2,0,5,0,2,8,1,0,0,0,3,0,0,0,0,4,3,0,2,3,7,1,2,0,5,3,0,0,0,0,3,2,1,2,2,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0
3,21,8,5,4,0,0,18,18,0,2,0,0,25,0,1,10,0,0,0,0,3,1,0,0,0,8,1,0,0,0,1,1,2,0,15,0,0,0,0,0,0,0,1,5,10,0,0,0,5,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,3,0.5,0,0,0,0,0,0,0,0,2,0,0,35,0,0,5,0,0,0
3,22,0,10,0,0,0,0,0,0,0,30,2,4,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,10,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
3,23,3,10,1,3,0,25,10,20,0,25,3,1,0,3,7,0,0,0,0,2,1,0,0,0,0,3,0,2,3,0,1,1,5,10,0,0,0,0,0,7,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,3,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0
3,24,0,0,5,0,0,5,7,10,0,0,5,10,0,0,8,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,0,2,0,10,0,0,1,0,0,7,5,5,3,0,0,0,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,1,0,0,0
4,1,13,5,4,7,0,10,0,4,3,0,1,0,0,8,5,1,0,0,0,5,0,0,0,4,4,7,4,2,0,2,1,0,6,6,2,3,1,3,1,2,0,0,2,13,0,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,4,7,2,0,0
